name,per,calories,protein,fat,carbs,per_unit_grams,count_unit
# === FISH & SEAFOOD (魚介類) - Per 100g ===
onion,100g,37,1.0,0.1,8.8,,
にんにく,100g,134,6.0,0.9,26.3,,
Garlic,100g,134,6.0,0.9,26.3,,
garlic,100g,134,6.0,0.9,26.3,,
ししとう,100g,27,1.9,0.3,5.7,,
Shishito Pepper,100g,27,1.9,0.3,5.7,,
shishito,100g,27,1.9,0.3,5.7,,
カリフラワー,100g,27,3.0,0.1,5.2,,
Cauliflower,100g,27,3.0,0.1,5.2,,
cauliflower,100g,27,3.0,0.1,5.2,,
セロリ,100g,15,0.4,0.1,3.6,,
Celery,100g,15,0.4,0.1,3.6,,
celery,100g,15,0.4,0.1,3.6,,
アスパラガス,100g,22,2.6,0.2,3.9,,
Asparagus,100g,22,2.6,0.2,3.9,,
asparagus,100g,22,2.6,0.2,3.9,,
菜の花,100g,33,4.4,0.2,4.9,,
Rape Blossoms,100g,33,4.4,0.2,4.9,,
rape blossoms,100g,33,4.4,0.2,4.9,,
ふき,100g,11,0.3,0.1,2.5,,
Fuki (Butterbur),100g,11,0.3,0.1,2.5,,
fuki,100g,11,0.3,0.1,2.5,,
みょうが,100g,12,0.9,0.1,2.6,,
Myoga,100g,12,0.9,0.1,2.6,,
myoga,100g,12,0.9,0.1,2.6,,
らっきょう,100g,118,1.4,0.2,29.3,,
Rakkyo (Pickled Shallot),100g,118,1.4,0.2,29.3,,
rakkyo,100g,118,1.4,0.2,29.3,,
クレソン,100g,15,2.1,0.1,2.5,,
Watercress,100g,15,2.1,0.1,2.5,,
watercress,100g,15,2.1,0.1,2.5,,
大根の芽,100g,21,2.1,0.3,3.6,,
Japanese Radish Sprout,100g,21,2.1,0.3,3.6,,
radish sprout,100g,21,2.1,0.3,3.6,,

# === GRAINS & RICE (穀類・ご飯) - Per 100g cooked ===
白米,100g,161,3.5,0.3,36,,
はくまい,100g,161,3.5,0.3,36,,
ハクマイ,100g,161,3.5,0.3,36,,
ご飯,100g,161,3.5,0.3,36,,
ごはん,100g,161,3.5,0.3,36,,
White rice,100g,161,3.5,0.3,36,,
white rice (polished),100g,161,3.5,0.3,36,,

玄米,100g,163,2.8,1.0,35.6,,
げんまい,100g,163,2.8,1.0,35.6,,
ゲンマイ,100g,163,2.8,1.0,35.6,,
玄米ご飯,100g,163,2.8,1.0,35.6,,
Brown rice,100g,163,2.8,1.0,35.6,,

発芽玄米,100g,157,3.0,1.4,33,,
はつがげんまい,100g,157,3.0,1.4,33,,
ハツガゲンマイ,100g,157,3.0,1.4,33,,
Germinated brown rice,100g,157,3.0,1.4,33,,
GABA rice,100g,157,3.0,1.4,33,,

胚芽米,100g,154,2.7,0.6,34.5,,
はいがまい,100g,154,2.7,0.6,34.5,,
ハイガマイ,100g,154,2.7,0.6,34.5,,
Haigamai,100g,154,2.7,0.6,34.5,,
semi-milled rice,100g,154,2.7,0.6,34.5,,

もち米,100g,182,3.1,0.4,41.5,,
もちごめ,100g,182,3.1,0.4,41.5,,
モチゴメ,100g,182,3.1,0.4,41.5,,
Glutinous rice,100g,182,3.1,0.4,41.5,,
Mochi rice,100g,182,3.1,0.4,41.5,,

雑穀米,100g,161,3.5,1.2,34,,
ざっこくまい,100g,161,3.5,1.2,34,,
ザッコクマイ,100g,161,3.5,1.2,34,,
Mixed-grain rice,100g,161,3.5,1.2,34,,
雑穀ご飯,100g,161,3.5,1.2,34,,

# === DRINKS (飲料) - Per 100ml ===
水,100ml,0,0,0,0,,
みず,100ml,0,0,0,0,,
ウォーター,100ml,0,0,0,0,,
Water,100ml,0,0,0,0,,

お茶（緑茶）,100ml,1,0,0,0,,
りょくちゃ,100ml,1,0,0,0,,
緑茶,100ml,1,0,0,0,,
おちゃ,100ml,1,0,0,0,,
Green tea,100ml,1,0,0,0,,

ほうじ茶,100ml,1,0,0,0,,
ほうじちゃ,100ml,1,0,0,0,,
焙じ茶,100ml,1,0,0,0,,
Hojicha,100ml,1,0,0,0,,

麦茶,100ml,0,0,0,0,,
むぎちゃ,100ml,0,0,0,0,,
バーリー・ティー,100ml,0,0,0,0,,
Barley tea,100ml,0,0,0,0,,

烏龍茶,100ml,0,0,0,0,,
ウーロンちゃ,100ml,0,0,0,0,,
ウーロン茶,100ml,0,0,0,0,,
Oolong tea,100ml,0,0,0,0,,

ジャスミン茶,100ml,0,0,0,0,,
ジャスミンちゃ,100ml,0,0,0,0,,
Jasmine Tea,100ml,0,0,0,0,,

黒烏龍茶,100ml,0,0,0,0,,
くろウーロンちゃ,100ml,0,0,0,0,,
Black oolong tea,100ml,0,0,0,0,,

コーヒー（ブラック）,100ml,4,0.2,0,0.7,,
こーひー,100ml,4,0.2,0,0.7,,
コーヒー,100ml,4,0.2,0,0.7,,
Coffee (black),100ml,4,0.2,0,0.7,,
Black coffee,100ml,4,0.2,0,0.7,,

カフェオレ（砂糖なし）,100ml,40,2,1.5,4,,
かふぇおれ,100ml,40,2,1.5,4,,
カフェオレ,100ml,40,2,1.5,4,,
Cafe au lait (unsweetened),100ml,40,2,1.5,4,,

牛乳,100ml,67,3.3,3.8,4.8,,
ぎゅうにゅう,100ml,67,3.3,3.8,4.8,,
ミルク,100ml,67,3.3,3.8,4.8,,
Milk,100ml,67,3.3,3.8,4.8,,

豆乳（無調整）,100ml,46,3.6,2,3,,
とうにゅう,100ml,46,3.6,2,3,,
ソイミルク,100ml,46,3.6,2,3,,
Soy milk (unsweetened),100ml,46,3.6,2,3,,

コーラ,100ml,45,0,0,11,,
こーら,100ml,45,0,0,11,,
Cola,100ml,45,0,0,11,,

サイダー,100ml,42,0,0,10,,
cider,100ml,42,0,0,10,,

スポーツドリンク（例：ポカリ）,100ml,25,0,0,6,,
すぽーつどりんく,100ml,25,0,0,6,,
ポカリ,100ml,25,0,0,6,,
アクエリ,100ml,25,0,0,6,,
Sports drink,100ml,25,0,0,6,,
Pocari,100ml,25,0,0,6,,
Aquarius,100ml,25,0,0,6,,

100%オレンジジュース,100ml,45,0.6,0.2,10,,
おれんじじゅーす,100ml,45,0.6,0.2,10,,
オレンジ,100ml,45,0.6,0.2,10,,
Orange juice 100%,100ml,45,0.6,0.2,10,,

りんごジュース,100ml,46,0.1,0.1,11,,
りんごじゅーす,100ml,46,0.1,0.1,11,,
Apple juice,100ml,46,0.1,0.1,11,,

抹茶ラテ,100ml,75,2,2.5,10,,
まっちゃらて,100ml,75,2,2.5,10,,
Matcha latte,100ml,75,2,2.5,10,,

# === PREPARED FOODS / 惣菜 (Per 100g) ===
唐揚げ,100g,278,13.1,23.5,3.5,,
からあげ,100g,278,13.1,23.5,3.5,,
コロッケ,100g,146,1.8,6.6,19.9,,
ころっけ,100g,146,1.8,6.6,19.9,,
とんかつ,100g,276,14.0,20.0,10.0,,
トンカツ,100g,276,14.0,20.0,10.0,,
焼き魚（鮭）,100g,125,20.0,5.0,0,,
焼き鮭,100g,125,20.0,5.0,0,,
サケ塩焼き,100g,125,20.0,5.0,0,,
煮魚（さば味噌煮）,100g,194,18.0,10.0,8.0,,
サバ味噌煮,100g,194,18.0,10.0,8.0,,
